X,Y,OBJECTID,REQUESTAPPROVALSTATUS,REQUESTCOMPLETEDNOTE,REQUESTTYPENOTE,DATESUBMITTED,ADDRESS_OR_LOCATION_OF_CALL,ADDRESS,SD,SPA,CITY,LESSTHAN5PEH,POSSIBLEDWELLERS,COLLABORATORDATEAVAILABILITY,REQUESTCOMPLETEDSTATUS,AMOUNTDEBRISREMOVEDINT,REQUESTCOMPLETEDDATE,GLOBALID
-118.166359718988,34.7377832799965,560,Request Completed,07/22/24,Full Encampment Protocol,2025/11/03 20:00:00+00,20th St W,"20th St Between Ave G and Ave F, including private parcel between Ave F, Ave F-8, 20th St West, and 10th St West",5,SPA 1,Unincorporated - North Lancaster,no,20,,yes,2200,2024/07/22 19:00:00+00,c7faa877-3066-45b7-b8ab-fae5a085c183
-118.151347404524,34.0304272765448,1770,Request Completed,08/20/25,Full Encampment Protocol,2025/08/02 20:13:00+00,Hillview and Beverly Blvd,East side Hillview just south of Beverly Blvd,1,SPA 7,Unincorporated - East Los Angeles,yes,4,2025/08/19 15:00:00+00,prev_approved_activity_not_required,0,2025/08/20 19:00:00+00,ab8c4de9-02b8-46f1-ab60-819dfb49cc5f
-118.530754151364,34.1872345408615,3107,Request Completed,01/28/25,Immediate Action,2025/01/02 21:39:00+00,"18255 Victory Boulevard, Reseda, CA, 91335","L.A. River, right (southwest) bank, upstream (northwest) of Victory Blvd
Clean up date has been changed to 1-28-2025",3,SPA 2,Los Angeles - Reseda,no,8,2025/01/28 16:00:00+00,yes,30,2025/01/28 20:00:00+00,81f29fe3-a5cd-464e-915b-7abb6ca35923
-118.093744604731,33.8315826534037,3108,Request Completed,03/06/25,Full Encampment Protocol,2025/01/02 22:09:00+00,"7106 Carson St Long Beach, CA, 90808","San Gabriel River- from Carson Street to Marina Dr both sides in the Long Beach City. 
PEH Encampments are located on the channel's maintenance access roads and interior invert right of way areas.",4,SPA 8,City of Long Beach,no,12,2025/03/04 16:00:00+00,yes,360,2025/03/06 20:00:00+00,a1e0e15f-a217-45e5-8f94-3ab8c5de2c70
-118.224808562589,33.9196575341792,3109,Request Completed,09/16/25,Non-Displacement,2025/01/03 19:08:00+00,"2644 East 124th St, Compton, CA",PEH in alley behind address 2644 E 124th St. ,2,SPA 6,Unincorporated - Willowbrook,yes,2,2025/09/16 15:00:00+00,yes,20,2025/09/16 19:00:00+00,b8b362e6-41fb-49ef-8a7d-44469d02cc0d
-118.041770225929,33.9526386239598,3112,Request Completed,06/06/25,Full Encampment Protocol,2025/01/06 21:01:00+00,"13441 Mulberry Drive, Whittier, CA, 90605",9409 Guilford Ave xst Mulberry Dr,4,SPA 7,Unincorporated - South Whittier,yes,1,2025/06/24 15:00:00+00,prev_approved_activity_not_required,0,2025/06/06 19:00:00+00,8c488a92-ac98-4140-8b08-b9b335d83d4d
-118.15878370978,34.1912923856739,3113,Request Completed,02/07/25,Full Encampment Protocol,2025/01/06 21:26:00+00,"2659 Lincoln Avenue, Altadena, CA, 91001",Bus stop at 2659 Lincoln Ave ,5,SPA 3,Unincorporated - Altadena,yes,1,2025/02/12 16:25:00+00,prev_approved_activity_not_required,0,2025/02/07 20:00:00+00,84b48e94-8535-4088-85e1-6198f2ffd073
-118.440877800304,34.3179741511764,3114,Request Completed,02/10/25,Full Encampment Protocol,2025/02/05 23:16:00+00,"14085 Lakeside St, Sylmar, CA, 91342","Wilson Canyon Channel, upstream (North) of 210 Polk St. freeway on-ramp. Entry onto access road is at Tyler St. and Gladstone Ave.  Access to location is due west traveling on access road until it dead ends at 210 Freeway, left and right banks. ",3,SPA 2,Los Angeles - Sylmar,yes,3,2025/02/04 16:00:00+00,yes,15,2025/02/10 20:00:00+00,e77fc511-5a1d-41d5-b149-21a43bbb19fb
-118.535679928178,34.1898719790944,3115,Request Completed,01/21/25,Immediate Action,2025/01/14 00:02:00+00,"6532 Reseda Boulevard, Reseda, CA, 91335","LA River from Reseda Blvd to Vanalden Ave.  Multiple encampments along this reach, including the access road and storm drain outlets in the channel invert.",3,SPA 2,Los Angeles - Reseda,no,7,2025/01/21 16:00:00+00,yes,40,2025/01/21 20:00:00+00,42a529b1-11da-4dba-9296-ef1674a95539
-118.206467449863,33.8450212832649,3117,Request Completed,04/15/25,Full Encampment Protocol,2025/01/07 15:53:00+00,"20434 South Susana Road, Long Beach, CA, 90810",Compton Creek- South of Del Amo Blvd to Freeway 710 overcrossing the channel. PEH Encampment trash & debris are located on the Bike path trail maintenance access road right of way. ,2,SPA 8,City of Carson,no,8,2025/04/14 14:30:00+00,yes,136,2025/04/15 19:00:00+00,cb36c8e4-1ef0-486d-b313-a4cdc99d737d
