GEOID,tract_ce6,spa,spa_num,sup_dist,pov_universe,pov_below,poverty_rate,median_income,households,high_poverty_25
06037101110,101110,SPA 2 - San Fernando,2,District 5,4068,476,0.11701081612586037,84091.0,1558,False
06037101122,101122,SPA 2 - San Fernando,2,District 5,4166,266,0.06385021603456553,99583.0,1407,False
06037101220,101220,SPA 2 - San Fernando,2,District 5,3434,610,0.17763541059988353,69676.0,1357,False
06037101221,101221,SPA 2 - San Fernando,2,District 5,3881,555,0.14300438031435198,53798.0,1483,False
06037101222,101222,SPA 2 - San Fernando,2,District 5,2564,356,0.13884555382215288,45662.0,948,False
06037101300,101300,SPA 2 - San Fernando,2,District 5,4165,323,0.07755102040816327,125675.0,1513,False
06037101400,101400,SPA 2 - San Fernando,2,District 5,3485,239,0.06857962697274031,81154.0,1336,False
06037102103,102103,SPA 2 - San Fernando,2,District 5,2054,184,0.08958130477117819,72656.0,714,False
06037102104,102104,SPA 2 - San Fernando,2,District 5,3828,190,0.04963427377220481,107656.0,1299,False
06037102105,102105,SPA 2 - San Fernando,2,District 5,1664,156,0.09375,96167.0,518,False
06037102107,102107,SPA 2 - San Fernando,2,District 5,3479,483,0.13883299798792756,104500.0,1184,False
06037103101,103101,SPA 2 - San Fernando,2,District 5,2705,110,0.04066543438077634,117857.0,982,False
06037103102,103102,SPA 2 - San Fernando,2,District 5,4439,489,0.11015994593376886,71754.0,1646,False
06037103201,103201,SPA 2 - San Fernando,2,District 5,4305,444,0.10313588850174216,91213.0,1581,False
06037103202,103202,SPA 2 - San Fernando,2,District 5,1940,48,0.024742268041237112,117338.0,649,False
06037103300,103300,SPA 2 - San Fernando,2,District 5,4010,342,0.08528678304239401,148036.0,1296,False
06037103401,103401,SPA 2 - San Fernando,2,District 5,2552,139,0.05446708463949843,100893.0,972,False
06037103402,103402,SPA 2 - San Fernando,2,District 5,3750,324,0.0864,106161.0,1378,False
06037104103,104103,SPA 2 - San Fernando,2,District 5,4092,488,0.11925708699902249,109688.0,868,False
06037104105,104105,SPA 2 - San Fernando,2,District 3,5887,1296,0.2201460845931714,60519.0,1580,False
06037104108,104108,SPA 2 - San Fernando,2,District 3,4952,684,0.1381260096930533,73344.0,1291,False
06037104124,104124,SPA 2 - San Fernando,2,District 5,4063,362,0.08909672655673148,90469.0,1325,False
06037104201,104201,SPA 2 - San Fernando,2,District 3,4325,471,0.10890173410404624,101509.0,863,False
06037104203,104203,SPA 2 - San Fernando,2,District 3,4845,1063,0.2194014447884417,67872.0,1074,False
06037104204,104204,SPA 2 - San Fernando,2,District 5,3382,481,0.14222353636901242,66167.0,718,False
06037104310,104310,SPA 2 - San Fernando,2,District 3,4411,543,0.12310133756517797,106250.0,885,False
06037104321,104321,SPA 2 - San Fernando,2,District 3,2926,458,0.15652768284347232,65521.0,773,False
06037104322,104322,SPA 2 - San Fernando,2,District 3,1844,143,0.07754880694143167,88125.0,445,False
06037104401,104401,SPA 2 - San Fernando,2,District 3,3083,671,0.21764515082711644,75234.0,623,False
06037104403,104403,SPA 2 - San Fernando,2,District 3,2232,506,0.22670250896057348,98400.0,510,False
06037104404,104404,SPA 2 - San Fernando,2,District 3,3328,472,0.14182692307692307,88125.0,746,False
06037104500,104500,SPA 2 - San Fernando,2,District 3,3507,1187,0.3384659252922726,77888.0,621,True
06037104610,104610,SPA 2 - San Fernando,2,District 3,3053,266,0.08712741565673109,86220.0,652,False
06037104620,104620,SPA 2 - San Fernando,2,District 3,3222,632,0.1961514587212911,88972.0,703,False
06037104701,104701,SPA 2 - San Fernando,2,District 3,3904,1184,0.30327868852459017,53011.0,953,True
06037104703,104703,SPA 2 - San Fernando,2,District 3,2306,409,0.17736339982653945,47981.0,607,False
06037104704,104704,SPA 2 - San Fernando,2,District 3,4580,1085,0.2368995633187773,72784.0,1231,False
06037104821,104821,SPA 2 - San Fernando,2,District 3,3403,558,0.16397296503085512,81518.0,751,False
06037104822,104822,SPA 2 - San Fernando,2,District 3,2199,603,0.2742155525238745,48750.0,637,True
06037104823,104823,SPA 2 - San Fernando,2,District 3,3195,707,0.221283255086072,81500.0,692,False
06037104824,104824,SPA 2 - San Fernando,2,District 3,2582,272,0.10534469403563129,112375.0,486,False
06037106010,106010,SPA 2 - San Fernando,2,District 3,4037,208,0.051523408471637354,144375.0,938,False
06037106020,106020,SPA 2 - San Fernando,2,District 3,4847,842,0.17371570043325768,123250.0,1298,False
06037106111,106111,SPA 2 - San Fernando,2,District 3,4698,228,0.04853128991060025,115357.0,1390,False
06037106112,106112,SPA 2 - San Fernando,2,District 3,4920,709,0.14410569105691057,100758.0,1430,False
06037106113,106113,SPA 2 - San Fernando,2,District 3,3743,129,0.03446433342238846,126190.0,1038,False
06037106114,106114,SPA 2 - San Fernando,2,District 3,6929,1731,0.24981959878770385,72065.0,1830,False
06037106403,106403,SPA 2 - San Fernando,2,District 3,3814,334,0.0875721027792344,101346.0,854,False
06037106405,106405,SPA 2 - San Fernando,2,District 3,4073,710,0.1743186840166953,88651.0,1147,False
06037106406,106406,SPA 2 - San Fernando,2,District 3,6292,234,0.0371900826446281,104598.0,1880,False
06037106407,106407,SPA 2 - San Fernando,2,District 3,2183,759,0.347686669720568,29083.0,828,True
06037106408,106408,SPA 2 - San Fernando,2,District 3,3789,1121,0.2958564264977567,58056.0,986,True
06037106510,106510,SPA 2 - San Fernando,2,District 3,5373,833,0.15503443141634096,121935.0,1601,False
06037106520,106520,SPA 2 - San Fernando,2,District 3,5475,711,0.12986301369863013,87029.0,1402,False
06037106603,106603,SPA 2 - San Fernando,2,District 3,3679,209,0.05680891546615928,142500.0,1216,False
06037106604,106604,SPA 2 - San Fernando,2,District 3,4349,539,0.12393653713497356,66611.0,1281,False
06037106641,106641,SPA 2 - San Fernando,2,District 3,2076,136,0.06551059730250482,118387.0,732,False
06037106642,106642,SPA 2 - San Fernando,2,District 3,3484,282,0.0809414466130884,139145.0,1189,False
06037106643,106643,SPA 2 - San Fernando,2,District 3,4311,120,0.027835768963117607,201250.0,1387,False
06037106645,106645,SPA 2 - San Fernando,2,District 3,3672,190,0.051742919389978215,151389.0,1252,False
06037106646,106646,SPA 2 - San Fernando,2,District 3,2973,169,0.05684493777329297,122734.0,999,False
06037106648,106648,SPA 2 - San Fernando,2,District 3,4698,633,0.13473818646232438,69125.0,1179,False
06037106649,106649,SPA 2 - San Fernando,2,District 3,2689,133,0.049460766084046114,104773.0,642,False
