Year,Proj. Type,Organization Name,Project Name,City,State,SPA,CD,SD,Geo Code,HMIS Participating,Inventory Type,Bed Type,Target Pop.,Beds HH w/ Children,Units HH w/ Children,Beds HH w/o Children,Beds HH w/ only Children,Veteran Beds HH w/ Children,Youth Beds HH w/ Children,CH Beds HH w/ Children,Veteran Beds HH w/o Children,Youth Beds HH w/o Children,CH Beds HH w/o Children,CH Beds HH w only Children,Victim Service Provider,Additional Federal Funding?,Additional Federal Funding: HUD-VASH,Additional Federal Funding: SSVF,Additional Federal Funding: GPD-BH,Additional Federal Funding: GPD-LD,Additional Federal Funding: GPD-HH,Additional Federal Funding: GPD-CT,Additional Federal Funding: GPD-SITH,Additional Federal Funding: GPD-TP,Additional Federal Funding: HCHV-CRS,Additional Federal Funding: HCHV-SH,Additional Federal Funding: BCP,Additional Federal Funding: MGH,Additional Federal Funding: TLP,Additional Federal Funding: RhyDp,Additional Federal Funding: HOPWA-HMV,Additional Federal Funding: HOPWA-PH,Additional Federal Funding: HOPWA-STSF,Additional Federal Funding: HOPWA-TH,Additional Federal Funding: HOPWA-CV,Additional Federal Funding: PIH,Additional Federal Funding: PIH-EHV,Additional Federal Funding: HOME,Additional Federal Funding: HOME-ARP,Additional Federal Funding: Other,Housing Type,McKinney- Vento,McKinney- Vento: EsgEs,McKinney- Vento: EsgRrh,McKinney- Vento: Esg-CV,McKinney- Vento: Esg-RUSH,McKinney- Vento: CocSh,McKinney- Vento: CocTh,McKinney- Vento: CocPsh,McKinney- Vento: CocRrh,McKinney- Vento: CocSro,McKinney- Vento: CocThRrh,McKinney- Vento: SpC,McKinney- Vento: S8,McKinney- Vento: SHP,McKinney- Vento: Yhdp,McKinney- Vento: YhdpRenewals,McKinney- Vento: Unshelt,McKinney- Vento: Rural,Year-Round Beds,Total Seasonal Beds,Availability Start Date,Availability End Date,Overflow Beds,PIT Count,Total Beds,Utilization Rate,spa_num,cd_num,occupied_beds,vacant_beds,bed_category
2025.0,ES,211,CES for Families - SPA 3 (formerly named Information and Referral Hotline),San Gabriel,CA,SPA 3                                             ,0,1,069037,Yes,Current,,,33.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Tenant-based - scattered site,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,33.0,0.0,,,0.0,33.0,33.0,1.0,3,0,33.0,0.0,Shelter
2025.0,ES,1736 Family Crisis Center,"A Bridge Home CD 10 ""Entry/Exit",Los Angeles,CA,SPA 4                                             ,10,2,062118,Yes,Current,,,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Site-based - single site,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,15.0,0.0,,,0.0,15.0,15.0,1.0,4,10,15.0,0.0,Shelter
2025.0,ES,1736 Family Crisis Center,"CES Enhanced Bridge Housing for Women SPA 8 ""Entry/Exit",Long Beach,CA,SPA 8                                             ,0,4,062118,Yes,Current,,,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Site-based - single site,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,20.0,0.0,,,0.0,20.0,20.0,1.0,8,0,20.0,0.0,Shelter
2025.0,ES,1736 Family Crisis Center,RHY Basic Center Emergency Shelter,Santa Monica,CA,SPA 5                                             ,10,2,063384,Yes,Current,,,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based - single site,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,6.0,0.0,,,0.0,3.0,6.0,0.5,5,10,3.0,3.0,Shelter
2025.0,RRH,1736 Family Crisis Center,SSVF RRH,Wilmington,CA,SPA 8                                             ,15,4,062118,Yes,Current,,,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Tenant-based - scattered site,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,9.0,0.0,,,0.0,9.0,9.0,1.0,8,15,9.0,0.0,Permanent Housing
2025.0,PSH,A Community of Friends,ACOF West Terrace DMH (D7),Los Angeles,CA,SPA 6                                             ,8,2,062118,Yes,Current,,,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Site-based - single site,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,34.0,0.0,,,0.0,32.0,34.0,0.9411764705882352,6,8,32.0,2.0,Permanent Housing
2025.0,PSH,A Community of Friends,Amistad Apartments,Los Angeles,CA,SPA 4                                             ,14,1,062118,Yes,Current,,,50.0,11.0,10.0,0.0,0.0,0.0,50.0,0.0,0.0,10.0,0.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based - single site,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,60.0,0.0,,,0.0,57.0,60.0,0.95,4,14,57.0,3.0,Permanent Housing
2025.0,PSH,A Community of Friends,CA004S Fox Normandie Apartments,Los Angeles,CA,SPA 4                                             ,10,2,062118,Yes,Current,,,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based - single site,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,36.0,0.0,,,0.0,32.0,36.0,0.8888888888888888,4,10,32.0,4.0,Permanent Housing
2025.0,PSH,A Community of Friends,CA0331 39 West Apartments - Supportive Services,Los Angeles,CA,SPA 6                                             ,8,2,062118,Yes,Current,,,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based - single site,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,33.0,0.0,,,0.0,28.0,33.0,0.8484848484848485,6,8,28.0,5.0,Permanent Housing
2025.0,PSH,A Community of Friends,CA0331 Parker Apartments - Supportive Services,Los Angeles,CA,SPA 4                                             ,1,1,062118,Yes,Current,,,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based - single site,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,31.0,0.0,,,0.0,18.0,31.0,0.5806451612903226,4,1,18.0,13.0,Permanent Housing
